index,caption_key,original_filename,preprocessed_file,subject,style_tags,training_caption,pixel_mean_abs_diff
16,00016,img_3_1_0348.p(426)_Scan_edit.jpg,00016.png,leopard resting,ink wash|detailed brushwork|negative space,"A leopard rests gracefully on a wooden platform, centered in the composition. The ink wash technique highlights the intricate patterns of its fur with precise, dark brush strokes, while softer washes create depth and texture. The use of negative space emphasizes the leopard's form, evoking a serene and contemplative atmosphere, ink wash, detailed brushwork, negative space, traditional ink wash painting",0.0
17,00017,img_3_1_0489(3801)_Scan_edit.jpg,00017.png,toy building blocks,ink wash|monochrome|depth,"Four toy building blocks are arranged in a cluster, with one block standing vertically and others lying horizontally. The ink wash technique uses varying densities, with darker, bold strokes for shadowed areas and lighter washes for highlights, creating a sense of depth. The composition conveys a playful yet structured atmosphere, ink wash, monochrome, depth, traditional ink wash painting",0.0
18,00018,img_3_1_0159.p(347)_Scan_edit.jpg,00018.png,video game controller,minimalist|precise lines|negative space,"A video game controller is depicted in a minimalist composition, centered with a slight angle. The ink lines are precise and uniform, capturing the controller's contours and buttons with clarity. The use of negative space emphasizes the simplicity and modernity of the subject, creating a calm and focused atmosphere, minimalist, precise lines, negative space, traditional ink wash painting",0.0
19,00019,img_2_1_0120.p(5152)_Scan_edit.jpg,00019.png,young woman,portrait|ink wash|detailed,"A young woman is depicted in a three-quarter view, her long hair cascading over one shoulder. The ink wash technique highlights her hair with fluid, dark brush strokes, while her face is delicately outlined with lighter strokes. The floral pattern on her clothing is intricately detailed, contrasting with the simplicity of the background. The mood is serene and contemplative, portrait, ink wash, detailed, traditional ink wash painting",0.0
20,00020,img_3_1_0492(2219)_Scan_edit.jpg,00020.png,mechanical gear system,technical|intricate|monochrome,"A detailed ink wash painting of a mechanical gear system, centrally placed with a side view perspective. The intricate gears and casing are rendered with precise, fine brush strokes, emphasizing the complexity of the machinery. The monochrome ink highlights the mechanical intricacies, creating a technical and analytical atmosphere, technical, intricate, monochrome, traditional ink wash painting",0.0
21,00021,img_1_1_0149(814)_Scan_edit.jpg,00021.png,pine forest and misty mountain,ink wash|gradient|negative space,"A dense forest of pine trees emerges from the lower left, extending upwards into a misty mountainside. The ink wash technique creates a soft gradient, with darker strokes defining the trees and lighter washes suggesting fog. Negative space enhances the ethereal atmosphere, evoking a serene and mysterious mood, ink wash, gradient, negative space, traditional ink wash painting",0.0
22,00022,img_3_1_0619(3400)_Scan_edit.jpg,00022.png,ceremonial bell,detailed|negative space|serene,"A large ceremonial bell hangs prominently in the center, with intricate carvings and a wooden striker suspended beside it. The ink lines are precise and detailed, capturing the texture and ornate patterns on the bell's surface. The composition uses negative space effectively, creating a serene and contemplative atmosphere, detailed, negative space, serene, traditional ink wash painting",0.0
23,00023,img_3_1_0037.p(351)_Scan_edit.jpg,00023.png,eagle,detailed|realistic|monochrome,"A majestic eagle perched on a wooden stump, viewed from the side. The detailed brushwork captures the intricate patterns of the feathers with varying ink densities, creating a realistic texture. The use of negative space highlights the bird's form, while subtle gradients add depth. The monochrome palette enhances the serene and powerful atmosphere, detailed, realistic, monochrome, traditional ink wash painting",0.0
24,00024,img_3_1_0045.p(189)_Scan_edit.jpg,00024.png,motorcycle,monochrome|dynamic|fluid,"A sleek motorcycle is depicted in profile view, centered in the composition. The artist uses bold, fluid brush strokes to capture the dynamic form, with varying ink densities highlighting the contours and details. The monochrome palette emphasizes the mechanical elegance, while subtle gradients create depth and shadow, evoking a sense of speed and precision, monochrome, dynamic, fluid, traditional ink wash painting",0.0
25,00025,img_1_1_0428(5629)_Scan_edit.jpg,00025.png,leafless tree,monochrome|delicate brushwork|serene,"A solitary, leafless tree stands prominently on the left, its intricate branches reaching skyward against a vast, open sky. The ink wash technique uses fine, delicate brush strokes to detail the tree, while soft, swirling lines create a sense of gentle movement in the sky. The monochrome palette enhances the serene and contemplative atmosphere, monochrome, delicate brushwork, serene, traditional ink wash painting",0.0
26,00026,img_2_1_0386(514)_Scan_edit.jpg,00026.png,young child in hooded cloak,portrait|soft brushwork|negative space,"A young child with a hooded cloak is centered in the composition, depicted with soft, delicate brush strokes. The ink wash technique creates subtle gradients, highlighting the gentle expression and texture of the cloak. The use of negative space emphasizes the child's serene and contemplative mood, portrait, soft brushwork, negative space, traditional ink wash painting",0.0
27,00027,img_1_1_0075.p(6978)_Scan_edit.jpg,00027.png,terraced fields and hut,landscape|dynamic clouds|negative space,"A serene landscape of terraced fields stretches across the foreground, with a small hut nestled on the right. The sky above is filled with swirling, dynamic clouds created with fluid brush strokes and varying ink densities. The use of negative space enhances the depth and tranquility of the scene, landscape, dynamic clouds, negative space, traditional ink wash painting",0.0
28,00028,img_1_1_0275(5235)_Scan_edit.jpg,00028.png,lighthouse on rocky coast,monochrome|ink wash|landscape,"A towering lighthouse stands on a rocky outcrop, centered in the composition, viewed from a low angle. The ink wash technique uses varied brush strokes to depict the rugged texture of the rocks and the smooth, vertical lines of the lighthouse. The sea is rendered with soft gradients, creating a serene and contemplative atmosphere, monochrome, ink wash, landscape, traditional ink wash painting",0.0
29,00029,img_2_1_0229(3050)_Scan_edit.jpg,00029.png,elderly woman,detailed|monochrome|textured,"An elderly woman is depicted in a close-up view, her hand covering her mouth, with intricate brushwork capturing the texture of her skin and fabric. The dense ink strokes emphasize the wrinkles and folds, creating a lifelike representation. The monochrome palette and detailed shading convey a contemplative and introspective mood, detailed, monochrome, textured, traditional ink wash painting",0.0
30,00030,img_3_1_0661(3661)_Scan_edit.jpg,00030.png,ceramic vases,minimalist|ink wash|negative space,"Two ceramic vases are depicted side by side in a minimalist composition. The left vase features smooth, flowing brush strokes, while the right vase is adorned with subtle, abstract markings. The use of light ink wash creates gentle gradients, emphasizing the simplicity and elegance of the forms. The negative space enhances the serene and contemplative atmosphere, minimalist, ink wash, negative space, traditional ink wash painting",0.0
31,00031,img_1_1_0081.p(6559)_Scan_edit.jpg,00031.png,waterfall and rocks,landscape|water|monochrome,"A waterfall cascades down a rocky cliff, centered in the composition, viewed from below. Delicate brush strokes depict the flowing water, with varying ink densities creating a sense of movement and texture. The surrounding rocks and foliage are rendered with intricate line work, enhancing the natural setting. The monochrome palette evokes a serene and tranquil atmosphere, landscape, water, monochrome, traditional ink wash painting",0.0
32,00032,img_3_1_0302(1527)_Scan_edit.jpg,00032.png,Kangaroo with joey,detailed|natural|serene,"A kangaroo with a joey in its pouch is centered in the composition, depicted in fine detail. The artist uses delicate brush strokes to capture the texture of the fur, with varying ink densities to create depth and dimension. The use of negative space highlights the animals, creating a serene and natural atmosphere, detailed, natural, serene, traditional ink wash painting",0.0
33,00033,img_3_1_0094.p(1993)_Scan_edit.jpg,00033.png,pancakes with raspberries,ink wash|texture|serene,"A stack of pancakes topped with raspberries is centered on a round plate, viewed from a slightly elevated angle. The ink wash technique uses varied brush strokes to create texture on the pancakes and raspberries, with dense ink for shadows and lighter washes for highlights. The composition conveys a serene and inviting atmosphere, ink wash, texture, serene, traditional ink wash painting",0.0
34,00034,img_2_1_0307(763)_Scan_edit.jpg,00034.png,Joyful elderly man,portrait|expressive|detailed,"A joyful elderly man is depicted in the center, wearing a hat and a plaid shirt, with a wide smile. The ink wash technique uses soft, flowing brush strokes to capture the texture of his hair and beard, while subtle gradients highlight his facial features. The composition conveys warmth and happiness, with a focus on expressive details, portrait, expressive, detailed, traditional ink wash painting",0.0
35,00035,img_2_1_0712(5675)_Scan_edit.jpg,00035.png,woman applying lipstick,portrait|delicate brushwork|intimate mood,"A woman applies lipstick while gazing into a mirror, positioned centrally with a side profile view. The brushwork is delicate, with fine lines defining facial features and soft gradients for shading. The ink density varies, creating depth and texture in the hair and clothing. The atmosphere is intimate and contemplative, portrait, delicate brushwork, intimate mood, traditional ink wash painting",0.0
36,00036,img_3_1_0148(621)_Scan_edit.jpg,00036.png,vintage rotary telephone,ink wash|negative space|nostalgic,"A vintage rotary telephone is centrally placed, depicted with meticulous ink wash techniques. The dense black ink outlines the phone's curves and details, while subtle gradients highlight its form. The coiled cord adds dynamic movement, contrasting with the static phone. The use of negative space emphasizes the subject, creating a nostalgic and contemplative atmosphere, ink wash, negative space, nostalgic, traditional ink wash painting",0.0
37,00037,img_3_1_0493(1302)_Scan_edit.jpg,00037.png,dumplings with sauce,food|monochrome|ink wash,"A plate of dumplings is arranged with a small dish of dipping sauce and a side of greens, viewed from above. The ink wash technique uses bold, fluid brush strokes to define the dumplings' contours, while softer gradients depict the sauce and greens. The monochrome palette creates a harmonious and appetizing atmosphere, food, monochrome, ink wash, traditional ink wash painting",0.0
38,00038,img_3_1_0463(1318)_Scan_edit.jpg,00038.png,jar with open lid,realism|minimalism|monochrome,"A small jar with its lid slightly open, positioned centrally in the composition. The ink wash technique uses soft gradients and delicate brush strokes to create a realistic depiction of the jar's smooth surfaces and subtle shadows. The monochrome palette enhances the simplicity and elegance of the scene, evoking a calm and minimalist atmosphere, realism, minimalism, monochrome, traditional ink wash painting",0.0
39,00039,img_1_1_0004(534)_Scan_edit.jpg,00039.png,mountainous landscape,landscape|ink wash|textured brushwork,"Mountainous landscape with towering rock formations in the background, viewed from a low angle. The ink wash technique uses dense, textured brush strokes to depict the rugged cliffs, while lighter washes create a soft, atmospheric sky. The foreground features delicate, fine strokes for grass and foliage, enhancing the serene and majestic mood, landscape, ink wash, textured brushwork, traditional ink wash painting",0.0
40,00040,img_3_1_0270.p(2848)_Scan_edit.jpg,00040.png,still life with bottle and glass,still life|ink wash|negative space,"A still life composition featuring a bottle and a glass placed centrally on a table, with bread and grapes surrounding them. The ink wash technique uses varied brush strokes, creating a contrast between the dense, dark shadows and lighter highlights. The negative space emphasizes the simplicity and balance of the scene, evoking a calm and contemplative atmosphere, still life, ink wash, negative space, traditional ink wash painting",0.0
41,00041,img_2_1_0051(1061)_Scan_edit.jpg,00041.png,,,,0.0
42,00042,img_3_1_0014.p(445)_Scan_edit.jpg,00042.png,glass bottle,realism|minimalism|negative space,"A glass bottle stands upright in the center, depicted with precise, dark ink strokes that capture its reflective surface and contours. The artist uses varying ink densities to highlight the bottle's transparency and texture, creating a realistic yet minimalist effect. The negative space around the bottle enhances its prominence, evoking a contemplative mood, realism, minimalism, negative space, traditional ink wash painting",0.0
43,00043,img_2_1_0253(3495)_Scan_edit.jpg,00043.png,contemplative figure,ink wash|brush strokes|negative space,"A contemplative figure stands slightly off-center, gazing forward with a hand gently touching the neck. The ink wash technique uses soft, flowing brush strokes to create the draped fabric and hair, with varying ink densities adding depth. The use of negative space highlights the figure's relaxed posture, evoking a serene and introspective mood, ink wash, brush strokes, negative space, traditional ink wash painting",0.0
44,00044,img_1_1_0076.p(3063)_Scan_edit.jpg,00044.png,Mountain peaks,landscape|ink wash|mountains,"Mountain peaks rise majestically in the foreground, with sweeping brush strokes creating a sense of rugged texture and grandeur. The ink wash technique employs varying densities to depict the depth and shadow of the mountains, while the sky is rendered with soft, diffuse clouds. The composition conveys a serene yet powerful atmosphere, landscape, ink wash, mountains, traditional ink wash painting",0.0
45,00045,img_3_1_0532(2003)_Scan_edit.jpg,00045.png,pomegranate and chestnuts,detailed|intricate|monochrome,"A detailed ink wash painting of a pomegranate and chestnuts, centrally placed with leaves extending in the background. The composition uses fine, intricate brush strokes to depict the textures of the fruit and nuts, with delicate line work for the leaves. The monochrome ink creates a serene and contemplative atmosphere, detailed, intricate, monochrome, traditional ink wash painting",0.0
46,00046,img_2_1_0381(1841)_Scan_edit.jpg,00046.png,young girl smiling,portrait|delicate brushwork|negative space,"A young girl is depicted in the center, her head turned slightly to the side with a gentle smile. The ink wash technique uses fine, delicate brush strokes for her hair and facial features, while her coat is rendered with textured, dense strokes. The background is left as negative space, enhancing the focus on her expression. The mood is light and joyful, portrait, delicate brushwork, negative space, traditional ink wash painting",0.0
47,00047,img_1_1_0236(6515)_Scan_edit.jpg,00047.png,bird on tree stump,ink wash|dynamic brushwork|tranquil,"A bird with outstretched wings perches on a gnarled tree stump emerging from a river, positioned centrally in the composition. The ink wash technique uses bold, dynamic brush strokes for the bird and tree, with softer washes for the water and distant landscape. The scene conveys a sense of tranquility and natural balance, ink wash, dynamic brushwork, tranquil, traditional ink wash painting",0.0
48,00048,img_1_1_0255(7046)_Scan_edit.jpg,00048.png,tree in landscape,landscape|fine brushwork|negative space,"A serene landscape with a prominent tree in the foreground, its branches extending across the top. The scene is filled with delicate, fine brush strokes creating a textured effect for the foliage. The ink density varies, with lighter washes suggesting depth and distance. The composition uses negative space to evoke a tranquil and contemplative atmosphere, landscape, fine brushwork, negative space, traditional ink wash painting",0.0
49,00049,img_1_1_0134(6056)_Scan_edit.jpg,00049.png,rocky islands and water,landscape|ink wash|serene,"A serene landscape of rocky islands and calm waters stretches across the foreground, viewed from an elevated perspective. The ink wash technique uses bold, textured brush strokes to define the rugged terrain, while softer washes create a tranquil water surface. The sky is depicted with sweeping, diluted ink strokes, adding depth and a sense of vastness. The atmosphere is peaceful and contemplative, landscape, ink wash, serene, traditional ink wash painting",0.0
50,00050,img_3_1_0633(2966)_Scan_edit.jpg,00050.png,traditional vase,ink wash|fine lines|negative space,"A detailed ink wash painting of a traditional vase, centered with a frontal viewpoint. The brushwork is precise, using fine lines and varying ink density to depict intricate patterns and textures on the vase's surface. The composition employs negative space to highlight the vase's form, creating a balanced and contemplative atmosphere, ink wash, fine lines, negative space, traditional ink wash painting",0.0
51,00051,img_3_1_0109.p(1032)_Scan_edit.jpg,00051.png,ceramic cup and pastries,ink wash|brush strokes|monochrome,"A ceramic cup is placed beside a stack of pastries, viewed from a slightly elevated angle. The cup is rendered with smooth, flowing brush strokes, while the pastries feature intricate, textured lines. The ink varies in density, creating depth and contrast, with subtle gradients enhancing the forms. The composition conveys a serene, contemplative mood, ink wash, brush strokes, monochrome, traditional ink wash painting",0.0
52,00052,img_2_1_0407(1116)_Scan_edit.jpg,00052.png,woman in leather jacket,portrait|ink wash|monochrome,"A portrait of a woman in a leather jacket, centered with a frontal viewpoint. The ink wash technique uses fine brush strokes for facial details and broader strokes for the jacket, creating a contrast in texture. The monochrome palette emphasizes the subject's expression, with subtle gradients adding depth and a contemplative mood, portrait, ink wash, monochrome, traditional ink wash painting",0.0
53,00053,img_3_1_0522(3249)_Scan_edit.jpg,00053.png,bottles and books,still life|ink wash|negative space,"Two bottles, one round and one tall, are placed on a stack of books with a textured sphere nearby. The ink wash technique uses dense strokes for the bottles, creating a glossy effect, while the books are rendered with lighter, textured strokes. The composition balances the objects with subtle gradients and negative space, evoking a contemplative mood, still life, ink wash, negative space, traditional ink wash painting",0.0
54,00054,img_2_1_0141(1038)_Scan_edit.jpg,00054.png,woman in profile,portrait|delicate brushwork|negative space,"A contemplative portrait of a woman in profile, positioned centrally with flowing hair. The artist employs delicate brush strokes and subtle ink gradients to capture her serene expression and the texture of her hair. The use of negative space enhances the focus on her face, creating a calm and introspective atmosphere, portrait, delicate brushwork, negative space, traditional ink wash painting",0.0
55,00055,img_3_1_0175(2929)_Scan_edit.jpg,00055.png,wine glass and grapes,ink wash|still life|delicate brushwork,"A wine glass filled halfway, centered between two clusters of grapes. The brushwork is delicate, with smooth gradients and soft edges, capturing the glass's transparency and the grapes' roundness. The ink density varies to create depth, while negative space enhances the composition's balance. The mood is serene and contemplative, ink wash, still life, delicate brushwork, traditional ink wash painting",0.0
56,00056,img_1_1_0033.p(793)_Scan_edit.jpg,00056.png,rock formations,landscape|bold brushwork|negative space,"Towering rock formations rise majestically on either side, framing a distant view of more peaks in the background. The brushwork is bold and textured, with dense ink creating a dramatic contrast against the lighter wash of the sky. The use of negative space enhances the depth and grandeur of the landscape, evoking a sense of awe and tranquility, landscape, bold brushwork, negative space, traditional ink wash painting",0.0
57,00057,img_3_1_0189(450)_Scan_edit.jpg,00057.png,grapes,monochrome|ink wash|negative space,"A cluster of grapes is centrally placed, depicted with varying densities of ink to create depth and texture. The brushwork is meticulous, with smooth gradients and subtle shading to highlight the roundness of each grape. The use of negative space enhances the simplicity and elegance of the composition, evoking a serene and contemplative mood, monochrome, ink wash, negative space, traditional ink wash painting",0.0
58,00058,img_3_1_0415(3849)_Scan_edit.jpg,00058.png,watermelon,bold strokes|ink density|negative space,"A watermelon depicted in the center, using bold, sweeping brush strokes to create a sense of volume and texture. The ink varies in density, with darker areas suggesting the fruit's natural pattern, while lighter washes highlight its roundness. The use of negative space emphasizes the simplicity and elegance of the composition, creating a serene and balanced atmosphere, bold strokes, ink density, negative space, traditional ink wash painting",0.0
59,00059,img_1_1_0091.p(1702)_Scan_edit.jpg,00059.png,mountain range and path,landscape|mountains|ink wash,"A majestic mountain range dominates the background, with snow-capped peaks rendered in dense, textured brush strokes. The foreground features a winding path flanked by trees, depicted with delicate, varied ink washes. The sky is filled with soft, swirling clouds, creating a serene and expansive atmosphere. The use of negative space enhances the depth and contrast, landscape, mountains, ink wash, traditional ink wash painting",0.0
60,00060,img_3_1_0228(143)_Scan_edit.jpg,00060.png,binoculars,detailed|monochrome|precise,"A pair of binoculars is depicted in a detailed ink wash painting, centered with a slight top-down perspective. The artist uses fine, precise brush strokes to outline the structure, with varying ink density to highlight texture and depth. The monochrome palette emphasizes the intricate design, creating a contemplative and focused atmosphere, detailed, monochrome, precise, traditional ink wash painting",0.0
61,00061,img_3_1_0130.p(389)_Scan_edit.jpg,00061.png,Boat with canopy,ink wash|negative space|minimalist,"A boat with a canopy is depicted in a side view, with a person seated inside. The ink lines are bold and defined, capturing the structure and details of the boat with minimal shading. The use of negative space emphasizes the simplicity and clarity of the scene, creating a calm and serene atmosphere, ink wash, negative space, minimalist, traditional ink wash painting",0.0
62,00062,img_3_1_0643(3656)_Scan_edit.jpg,00062.png,crystalline structures,monochrome|angular|dynamic,"A cluster of crystalline structures rises from the bottom center, depicted with sharp, angular brush strokes. The ink varies in density, creating a sense of transparency and depth, with intricate line work capturing the facets. The monochrome palette enhances the stark, reflective quality, evoking a serene yet dynamic atmosphere, monochrome, angular, dynamic, traditional ink wash painting",0.0
63,00063,img_1_1_0184.p(5608)_Scan_edit.jpg,00063.png,mountain range and tree,landscape|detailed brushwork|negative space,"A towering mountain range dominates the background, with jagged peaks rendered in fine, detailed brushwork. In the foreground, a solitary tree and a bench are depicted with delicate, textured strokes. The use of negative space creates a serene and expansive atmosphere, while the monochrome ink enhances the tranquil mood, landscape, detailed brushwork, negative space, traditional ink wash painting",0.0
64,00064,img_1_1_0176.p(6520)_Scan_edit.jpg,00064.png,trees and bench,ink wash|negative space|textured brushwork,"A cluster of trees dominates the center of the composition, with a bench placed to the right, suggesting a serene resting spot. The ink wash technique uses dense, textured brush strokes to depict the foliage, while lighter strokes create the grassy foreground. The use of negative space enhances the tranquil atmosphere, with subtle gradients adding depth, ink wash, negative space, textured brushwork, traditional ink wash painting",0.0
65,00065,img_3_1_0179(201)_Scan_edit.jpg,00065.png,iron on fabric,detailed|contrast|domestic,"A detailed ink wash painting of an iron placed on a textured fabric, viewed from a slightly elevated angle. The brushwork captures the smooth curves of the iron with precise, dark strokes, while the fabric is rendered with softer, lighter washes, creating a contrast between the solid object and the flowing material. The atmosphere is calm and domestic, detailed, contrast, domestic, traditional ink wash painting",0.0
66,00066,img_2_1_0076(1058)_Scan_edit.jpg,00066.png,,,,0.0
67,00067,img_3_1_0058.p(2381)_Scan_edit.jpg,00067.png,open book,ink wash|brush strokes|monochrome,"An open book lies flat, centered in the composition, with pages fanned out. The ink wash technique uses varied brush strokes to depict text and page texture, with subtle gradients suggesting depth. The monochrome palette emphasizes the book's serene and contemplative atmosphere, ink wash, brush strokes, monochrome, traditional ink wash painting",0.0
68,00068,img_3_1_0521(2248)_Scan_edit.jpg,00068.png,billiard balls,monochrome|bold strokes|negative space,"A triangular arrangement of billiard balls viewed from above, depicted with bold, rounded brush strokes. The ink varies in density, creating a glossy effect on the balls, while subtle gradients suggest depth and shadow. The use of negative space enhances the focus on the clustered spheres, evoking a sense of anticipation and stillness, monochrome, bold strokes, negative space, traditional ink wash painting",0.0
69,00069,img_3_1_0433(2272)_Scan_edit.jpg,00069.png,conch shell,detailed|realistic|textured,"A detailed ink wash painting of a conch shell, centered on a white background. The shell is depicted with intricate brush strokes, showcasing fine textures and patterns. The use of varying ink densities creates a realistic depth and shadow, highlighting the shell's natural curves. The atmosphere is serene and contemplative, emphasizing the beauty of nature, detailed, realistic, textured, traditional ink wash painting",0.0
70,00070,img_3_1_0455(824)_Scan_edit.jpg,00070.png,watering can,expressive|textured|monochrome,"A watering can is centrally placed, depicted with bold, expressive brush strokes and varying ink densities. The body of the can features vertical strokes, creating a textured appearance, while the spout is rendered with smoother lines. The use of negative space highlights the form, and the monochrome palette adds a serene, contemplative mood, expressive, textured, monochrome, traditional ink wash painting",0.0
71,00071,img_1_1_0218(7200)_Scan_edit.jpg,00071.png,wooden bridge and waterfall,landscape|monochrome|tranquil,"A serene landscape featuring a wooden bridge over a flowing stream, framed by lush trees and a cascading waterfall in the background. The composition uses bold brush strokes for the trees and rocks, with delicate washes for the water and sky, creating a harmonious balance of textures. The monochrome ink evokes a tranquil and contemplative atmosphere, landscape, monochrome, tranquil, traditional ink wash painting",0.0
72,00072,img_2_1_0412(6183)_Scan_edit.jpg,00072.png,,,,0.0
73,00073,img_3_1_0356.p(1775)_Scan_edit.jpg,00073.png,zebra,ink wash|negative space|monochrome,"A zebra stands in profile, centered on a white background, with its head lowered as if grazing. The ink wash technique highlights the zebra's stripes with bold, precise brush strokes, contrasting against the soft, light washes used for shading. The negative space emphasizes the zebra's form, creating a serene and contemplative atmosphere, ink wash, negative space, monochrome, traditional ink wash painting",0.0
74,00074,img_1_1_0059(5270)_Scan_edit.jpg,00074.png,lighthouse on rocky cliffs,landscape|monochrome|serene,"A lighthouse stands prominently on rocky cliffs, overlooking a calm sea. The composition places the lighthouse to the left, with expansive sky and rugged terrain. Bold, textured brush strokes define the rocks, while softer washes create a serene sky. The ink varies from dense blacks to light grays, enhancing the tranquil yet majestic atmosphere, landscape, monochrome, serene, traditional ink wash painting",0.0
